,Click to star the Github Repo,,,,,,,Connect/Follow on LinkedIn,,,,Last updated:,2022-06-22 12:30 (GMT),
Q. No.,Name / Link,"Likes
(L)","Dislikes
(D)","Reactions
(L+D)","L/D
Ratio","Acceptance
Rate",Category,Topic Tags,Difficulty,Free?,"Has
Solution?","Has Video
Solution?","Total
Accepted","Total
Submitted"
18,4Sum,6664,748,7412,8.91,37.38%,Algorithms,"Array, Two Pointers, Sorting, ",Medium,TRUE,TRUE,FALSE,604098,1616187
167,Two Sum II - Input Array Is Sorted,6670,1015,7685,6.57,59.64%,Algorithms,"Array, Two Pointers, Binary Search, ",Medium,TRUE,TRUE,FALSE,1085305,1819681
108,Convert Sorted Array to Binary Search Tree,6650,366,7016,18.17,66.59%,Algorithms,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree, ",Easy,TRUE,TRUE,FALSE,760234,1141668
581,Shortest Unsorted Continuous Subarray,6574,234,6808,28.09,36.06%,Algorithms,"Array, Two Pointers, Stack, Greedy, Sorting, Monotonic Stack, ",Medium,TRUE,TRUE,FALSE,273351,758116
621,Task Scheduler,6550,1296,7846,5.05,54.8%,Algorithms,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting, ",Medium,TRUE,TRUE,FALSE,345995,631381
442,Find All Duplicates in an Array,6477,257,6734,25.2,72.7%,Algorithms,"Array, Hash Table, ",Medium,TRUE,TRUE,FALSE,414197,569762
863,All Nodes Distance K in Binary Tree,6490,130,6620,49.92,61.46%,Algorithms,"Tree, Depth-First Search, Breadth-First Search, Binary Tree, ",Medium,TRUE,TRUE,FALSE,242905,395253
329,Longest Increasing Path in a Matrix,6449,101,6550,63.85,51.38%,Algorithms,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, ",Hard,TRUE,TRUE,FALSE,370167,720400
337,House Robber III,6373,97,6470,65.7,53.63%,Algorithms,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, ",Medium,TRUE,TRUE,FALSE,293138,546641
92,Reverse Linked List II,6388,302,6690,21.15,43.67%,Algorithms,"Linked List, ",Medium,TRUE,TRUE,FALSE,494450,1132369
162,Find Peak Element,6384,3816,10200,1.67,46.04%,Algorithms,"Array, Binary Search, ",Medium,TRUE,TRUE,FALSE,816968,1774652
268,Missing Number,6338,2903,9241,2.18,60.64%,Algorithms,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting, ",Easy,TRUE,TRUE,FALSE,1109108,1828980
120,Triangle,6289,413,6702,15.23,52.8%,Algorithms,"Array, Dynamic Programming, ",Medium,TRUE,TRUE,FALSE,486700,921821
695,Max Area of Island,6306,152,6458,41.49,70.12%,Algorithms,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix, ",Medium,TRUE,TRUE,FALSE,497334,709232
143,Reorder List,6265,222,6487,28.22,48.84%,Algorithms,"Linked List, Two Pointers, Stack, Recursion, ",Medium,TRUE,TRUE,FALSE,507297,1038683
402,Remove K Digits,6213,256,6469,24.27,30.49%,Algorithms,"String, Stack, Greedy, Monotonic Stack, ",Medium,TRUE,TRUE,FALSE,268890,881774
173,Binary Search Tree Iterator,6211,401,6612,15.49,67.76%,Algorithms,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator, ",Medium,TRUE,TRUE,FALSE,587697,867362
567,Permutation in String,6232,189,6421,32.97,44.36%,Algorithms,"Hash Table, Two Pointers, String, Sliding Window, ",Medium,TRUE,TRUE,FALSE,413795,932762
212,Word Search II,6187,247,6434,25.05,37.62%,Algorithms,"Array, String, Backtracking, Trie, Matrix, ",Hard,TRUE,TRUE,FALSE,449606,1195042
312,Burst Balloons,6192,160,6352,38.7,56.53%,Algorithms,"Array, Dynamic Programming, ",Hard,TRUE,TRUE,FALSE,191907,339458
